PROVINCIA,EMPLEADOS,VENTAS,ENDEUDAMIENTO_CORTO_PLAZO,FONDO_MANIOBRA,FONDOS_PROPIOS,ScoreBinario,DummieConcursoAcreedores,DummieReclamaciones,DummieIncidencias,AñosConstitucion,CNAE_Categorias,$T-Bietápico,$O-Anomaly
CADIZ,1.000,494013.050,2722537.050,-2517080.280,3085840.830,0,0,0,0,28.000,12,clúster-5,F
BIZKAIA,1.000,112616.510,22551.380,26467.060,50511.110,0,0,0,0,32.000,12,clúster-5,F
LAS PALMAS,4.000,0.000,512560.350,-601387.440,921167.110,0,0,0,0,25.000,7,clúster-6,F
BARCELONA,1.000,402553.940,516629.050,1400590.260,5095357.760,0,0,0,0,29.000,12,clúster-5,F
No Disponible,1.000,0.000,3436.930,-1717.540,550383.840,0,0,0,0,27.000,6,clúster-6,F
CORUÑA (A),7.000,1212831.190,186526.910,232054.550,346063.530,0,0,0,0,25.000,7,clúster-6,F
BARCELONA,1.000,317831.620,142464.460,2440.600,1405022.950,0,0,0,0,29.000,8,clúster-5,F
BARCELONA,4.000,0.000,38905.420,79647.910,3118531.180,0,0,0,0,29.000,7,clúster-5,F
MADRID,12.000,597154.060,182176.930,-75719.380,348883.950,0,0,0,0,29.000,8,clúster-5,F
ASTURIAS,2.000,81735.380,40138.540,210519.530,241328.270,0,0,0,0,21.000,8,clúster-8,F
OURENSE,0.000,285983.700,43089.920,54679.910,78771.280,0,0,0,0,27.000,7,clúster-6,F
ASTURIAS,8.000,541490.630,22932.280,122255.570,130144.350,0,0,0,0,25.000,9,clúster-6,F
TOLEDO,3.000,956502.350,995814.530,-200858.640,65377.270,0,0,0,0,24.000,1,clúster-6,F
BARCELONA,31.000,5018582.300,575617.990,2118191.610,3216909.270,0,0,0,0,37.000,3,clúster-5,F
ASTURIAS,1.000,0.000,461891.550,151984.720,221410.760,0,0,0,0,21.000,7,clúster-8,F
BIZKAIA,19.000,6949420.810,1641929.240,668291.790,844804.500,0,0,0,0,32.000,7,clúster-5,F
BIZKAIA,21.000,5204073.620,1824926.920,1822.740,607821.880,0,0,0,0,38.000,3,clúster-5,F
MADRID,3.000,142032.180,164614.930,1998163.280,3782196.100,0,0,0,0,25.000,14,clúster-6,F
ILLES BALEARS,112.000,3158763.040,4257028.980,-841262.360,1235585.530,0,0,0,0,30.000,19,clúster-5,F
GIPUZKOA,21.000,2956012.660,1296141.570,817286.140,1202489.110,0,0,0,0,38.000,3,clúster-5,F
AVILA,16.000,847271.280,157169.350,852685.810,857245.270,0,0,0,0,49.000,6,clúster-5,F
LEON,15.000,2361375.240,285360.870,503600.330,3416563.240,0,0,0,0,44.000,7,clúster-5,F
BIZKAIA,1.000,62894.550,11844.130,14753.830,18394.400,0,0,0,0,31.000,6,clúster-5,F
PONTEVEDRA,3.000,133614.100,110866.580,64655.050,65173.000,0,0,0,0,29.000,7,clúster-5,F
ASTURIAS,10.000,1713953.370,595858.990,84431.620,99038.120,0,0,0,0,31.000,7,clúster-5,F
SALAMANCA,3.000,157916.430,21766.530,72175.690,267764.650,0,0,0,0,21.000,19,clúster-8,F
BARCELONA,10.000,2457520.150,703443.230,59272.570,147616.940,0,0,0,0,26.000,3,clúster-6,F
TARRAGONA,5.000,434127.670,153741.970,54781.870,238230.860,0,0,0,0,28.000,8,clúster-5,F
BARCELONA,1.000,0.000,14354.580,97417.810,1467733.750,0,0,0,0,29.000,12,clúster-5,F
ALICANTE,5.000,2079658.400,504553.300,325389.490,437701.600,0,0,0,0,30.000,7,clúster-5,F
MADRID,1.000,157200.000,20164.310,93877.010,105339.670,0,0,0,0,27.000,13,clúster-6,F
MADRID,1.000,0.000,234061.070,-214857.620,28386.560,0,0,0,0,19.000,12,clúster-8,F
BIZKAIA,16.000,806296.470,879020.380,-640801.230,-600909.090,0,0,0,0,18.000,7,clúster-4,F
CORUÑA (A),4.000,901841.210,254045.700,507502.310,1242678.740,0,0,0,0,77.000,12,clúster-5,F
BIZKAIA,0.000,0.000,47078.750,-23742.440,122224.270,0,0,0,0,30.000,12,clúster-5,F
CADIZ,4.000,276500.210,63852.970,54966.080,59461.150,0,0,0,0,20.000,6,clúster-8,F
ASTURIAS,1.000,0.000,60379.750,-22120.550,115623.520,0,0,0,0,15.000,13,clúster-3,F
BIZKAIA,4.000,569709.650,168066.170,34875.080,35751.390,0,0,0,0,18.000,7,clúster-4,F
BARCELONA,1.000,129372.950,6752.610,412121.070,3885750.270,0,0,0,0,18.000,12,clúster-4,F
BARCELONA,8.000,538881.290,73991.150,946519.070,2238032.110,0,0,0,0,28.000,6,clúster-5,F
VALENCIA,4.000,88083.290,88475.260,58353.700,408519.520,0,0,1,0,29.000,1,clúster-5,F
BIZKAIA,8.000,2857499.070,119332.940,1493883.640,1501533.830,0,0,0,0,31.000,7,clúster-5,F
ASTURIAS,10.000,1537148.220,351198.490,273201.260,653727.070,0,0,0,0,40.000,7,clúster-5,F
LUGO,9.000,2733652.250,382559.780,1381682.310,2257692.910,0,0,0,0,26.000,3,clúster-6,F
ILLES BALEARS,1.000,5875.000,4158.000,369277.700,-57682.190,0,0,0,0,29.000,10,clúster-5,F
LLEIDA,0.000,31685.670,60663.360,168334.950,369875.390,0,0,0,0,29.000,7,clúster-5,F
MADRID,12.000,720390.360,76216.720,215939.940,222228.010,0,0,0,0,16.000,13,clúster-4,F
VALENCIA,1.000,225353.750,94108.910,18002.800,602775.990,0,0,0,0,25.000,7,clúster-6,F
BIZKAIA,1.000,33796.770,16686.250,26325.730,26416.950,0,0,0,0,15.000,19,clúster-3,F
ZARAGOZA,1.000,229861.850,666929.850,2770352.210,7494688.240,0,0,0,0,29.000,7,clúster-5,F
BARCELONA,1.000,327545.240,17007.590,604920.090,11212485.490,0,0,0,0,19.000,12,clúster-8,F
MADRID,1.000,0.000,363174.970,-335485.650,-331501.660,0,0,0,0,29.000,13,clúster-5,F
MADRID,2.000,190821.430,81641.280,181060.590,-71028.540,0,0,0,0,29.000,3,clúster-5,F
ASTURIAS,19.000,2775966.360,3474952.190,5353001.910,12658290.220,0,0,0,0,34.000,7,clúster-5,F
ZARAGOZA,1.000,12000.000,513.580,31806.610,31806.610,0,0,0,0,26.000,12,clúster-6,F
MADRID,4.000,207871.620,5035145.790,-1826377.500,2250244.370,1,0,0,0,24.000,6,clúster-6,F
ASTURIAS,2.000,313121.160,144723.150,54281.880,24358.460,0,0,0,0,32.000,7,clúster-5,F
BARCELONA,3.000,315051.120,24493.220,183242.210,486224.290,0,0,0,0,28.000,7,clúster-5,F
BIZKAIA,3.000,119008.290,95607.770,-61643.990,6253.930,0,0,0,0,22.000,6,clúster-7,F
CADIZ,1.000,19261.890,93318.190,-84721.780,-4916.220,0,0,0,0,24.000,14,clúster-6,F
SEVILLA,1.000,49036.120,213658.070,-156246.140,-128574.810,0,0,0,0,25.000,7,clúster-6,F
MADRID,8.000,735793.830,112731.800,1855.420,454789.320,0,0,0,0,18.000,3,clúster-4,F
BIZKAIA,9.000,771555.030,130262.620,15509.510,109691.430,0,0,0,0,29.000,7,clúster-5,F
ASTURIAS,1.000,366237.610,327292.030,194567.630,296321.100,0,0,0,0,24.000,7,clúster-6,F
GIPUZKOA,1.000,200928.070,183041.790,-69510.150,42288.320,0,0,0,0,25.000,7,clúster-6,F
CASTELLON,4.000,1085124.460,624279.100,656611.670,796305.150,0,0,0,0,29.000,3,clúster-5,F
ALICANTE,2.000,159171.500,15220.190,41800.080,40869.240,0,0,1,0,20.000,7,clúster-8,F
HUESCA,11.000,555267.950,158712.870,284450.670,217315.620,0,0,0,0,31.000,3,clúster-5,F
BARCELONA,3.000,98053.130,117837.750,-31416.930,20572.700,0,0,0,0,47.000,3,clúster-5,F
ZARAGOZA,2.000,0.000,285147.250,-4526.910,1819196.760,0,0,0,0,14.000,12,clúster-3,F
MADRID,4.000,395289.260,165994.150,612724.050,1528999.480,0,0,0,0,29.000,3,clúster-5,F
ASTURIAS,6.000,1096499.750,68481.180,219479.600,337328.200,0,0,0,0,27.000,3,clúster-6,F
BARCELONA,2.000,0.000,118244.410,697951.380,3781605.190,0,0,0,0,29.000,13,clúster-5,F
